SAMPLE_ID,NMFS_DNA_ID,collection,PofZ,z_score,TemporalAvail,SpatialAvail,FisheriesCollMonth,FisheriesCollSeason,FisheriesLatDD,FisheriesLongDD,MissingSBND
08-1151,NF001814,Semidi,0.997187889,1.23503732,1,1,7,breeding,58.53333,-176.05,
08-1152,NF001815,Semidi,0.929782518,0.464871244,1,1,6,breeding,58.98333,-175.88333,
08-1153,NF001816,StMatthew,0.999844069,-1.308800185,1,1,7,breeding,59.33333,-175.33333,
08-1155,NF001818,StMatthew,0.991120519,-0.89413163,1,1,2,nonbreeding,54.43,-165.865,3114
08-1157,NF001820,StMatthew,0.999905703,-1.062797155,1,1,6,breeding,59,-176.33333,
08-1158,NF001821,StMatthew,0.999998472,0.170709847,1,1,7,breeding,58.51667,-176,
08-1159,NF001822,Semidi,0.99688648,-0.226257673,1,1,7,breeding,58.56667,-176.76667,
08-1160,NF001823,Pribilof,0.981424031,0.247846315,1,1,6,breeding,58.98333,-175.88333,
08-1161,NF001824,Pribilof,0.999833688,0.687808877,1,1,7,breeding,58.8,-175.93333,
08-1162,NF001825,Semidi,0.999560517,0.643926819,1,1,10,nonbreeding,54.6,-159.21667,
08-1163,NF001826,Pribilof,0.967898714,0.285381324,1,1,6,breeding,58.51667,-176.06667,
08-1164,NF001827,Semidi,0.999996976,0.411192332,1,1,2,nonbreeding,56.33333,-166.56667,
08-1165,NF001828,Semidi,0.998824516,1.03092924,1,1,7,breeding,59.23333,-175.93333,
08-1166,NF001829,StMatthew,0.999759746,-0.790687853,1,1,7,breeding,59.23333,-175.93333,
08-1167,NF001830,Semidi,0.998565515,1.632316935,1,1,7,breeding,58.61667,-177.33333,
08-1169,NF001832,Semidi,0.989551532,0.775088901,1,1,2,nonbreeding,56.3,-170.85,
08-1173,NF001834,Semidi,0.999995117,-0.103187386,1,1,9,breeding,56.4,-165.95,
08-1174,NF001835,Semidi,0.983957943,1.15225286,1,1,9,breeding,56.25,-165.51667,
08-1175,NF001836,StMatthew,0.999373651,-0.271054074,1,1,10,nonbreeding,56.63333,-167.23333,
08-1176,NF001837,Semidi,0.999991155,-2.205949779,1,1,10,nonbreeding,56.53333,-167.41667,3133
08-1178,NF001839,Pribilof,0.998582215,1.337492083,1,1,10,nonbreeding,56.53333,-167.41667,
08-1180,NF001841,Semidi,0.999887439,1.624406019,1,1,10,nonbreeding,56.65,-167.26667,
08-1181,NF001842,StMatthew,0.999938949,-0.622207514,1,1,7,breeding,59.56667,-177.6,
08-1183,NF001844,StMatthew,0.999796677,-0.77754584,1,1,2,nonbreeding,56.38333,-171.23333,
08-1185,NF001846,StMatthew,0.984786951,-1.483827194,1,1,1,nonbreeding,56.38333,-171.23333,3142
08-1186,NF001847,StMatthew,0.999869986,0.3988693,1,1,7,breeding,58.53333,-171.23333,
08-1187,NF001848,Pribilof,0.999843387,-1.121471586,1,1,6,breeding,56.65,-171.28333,
08-1188,NF001849,Chagulak,0.99926664,-0.523521066,1,1,6,breeding,56.65,-171.28333,
08-1189,NF001850,Semidi,0.999896149,0.496244279,1,1,8,breeding,59.86667,-177.35,
08-1190,NF001851,StMatthew,0.998751009,0.779325105,1,1,1,nonbreeding,56.61667,-166.08333,
08-1191,NF001852,Pribilof,0.99039875,-1.255146393,1,1,1,nonbreeding,60.55333,-176.61167,3148
08-1193,NF001854,StMatthew,0.99665642,0.068196187,1,1,10,nonbreeding,60.43333,-176.55,
08-1194,NF001855,StMatthew,0.977346139,-1.384865628,1,1,9,breeding,59.46667,-175.85,
08-1196,NF001857,StMatthew,0.99818643,0.772975552,1,1,9,breeding,59.86667,-177.71667,
08-1198,NF001859,Pribilof,0.994334402,-0.025348379,1,1,2,nonbreeding,56.31667,-171.18333,
08-1199,NF001860,Semidi,0.999124676,-1.203093301,1,1,7,breeding,59.23333,-175.93333,
08-1200,NF001861,Pribilof,0.99724323,-2.156741693,1,1,6,breeding,58.51667,-176,3157
08-1201,NF001862,StMatthew,0.999860109,-1.216777543,1,1,2,nonbreeding,60.43361,-178.47361,3158
08-1203,NF001864,Pribilof,0.993292066,1.319745919,1,1,9,breeding,60.43361,-176.25,
08-1205,NF001866,Semidi,0.998801103,1.817715879,1,1,1,nonbreeding,54.51667,-163.1,
08-1206,NF001867,Semidi,0.999187054,0.722324433,1,1,1,nonbreeding,59.22333,-175.76917,
08-1824,NF001870,Pribilof,0.998974812,-2.008558224,1,1,9,breeding,56.25,-165.51667,3248
08-1826,NF001872,StMatthew,0.998447502,-0.198885075,1,1,9,breeding,57.51167,-172.64167,
08-1829,NF001875,Semidi,0.999750534,0.570408863,1,0,9,breeding,,,
