NMFS_DNA_ID,sample_type,repunit,collection
NF000001,reference,Semidi,Semidi
NF000002,reference,Semidi,Semidi
NF000003,reference,Semidi,Semidi
NF000004,reference,Semidi,Semidi
NF000006,reference,Semidi,Semidi
NF000007,reference,Semidi,Semidi
NF000008,reference,Semidi,Semidi
NF000009,reference,Semidi,Semidi
NF000010,reference,Semidi,Semidi
NF000011,reference,Semidi,Semidi
NF000012,reference,Semidi,Semidi
NF000013,reference,Semidi,Semidi
NF000014,reference,Semidi,Semidi
NF000015,reference,Semidi,Semidi
NF000016,reference,Semidi,Semidi
NF000017,reference,Semidi,Semidi
NF000018,reference,Semidi,Semidi
NF000019,reference,Semidi,Semidi
NF000020,reference,Semidi,Semidi
NF000021,reference,Semidi,Semidi
NF000022,reference,Semidi,Semidi
NF000023,reference,Semidi,Semidi
NF000024,reference,Semidi,Semidi
NF000025,reference,Semidi,Semidi
NF000027,reference,Semidi,Semidi
NF000028,reference,Semidi,Semidi
NF000029,reference,Semidi,Semidi
NF000030,reference,Semidi,Semidi
NF000031,reference,Semidi,Semidi
NF000032,reference,Semidi,Semidi
NF000033,reference,Semidi,Semidi
NF000034,reference,Semidi,Semidi
NF000035,reference,Semidi,Semidi
NF000036,reference,Semidi,Semidi
NF000037,reference,Semidi,Semidi
NF000038,reference,Semidi,Semidi
NF000039,reference,Semidi,Semidi
NF000040,reference,Semidi,Semidi
NF000041,reference,Semidi,Semidi
NF000042,reference,Semidi,Semidi
NF000043,reference,Semidi,Semidi
NF000044,reference,Semidi,Semidi
NF000045,reference,Semidi,Semidi
NF000046,reference,Semidi,Semidi
NF000047,reference,Semidi,Semidi
NF000048,reference,Semidi,Semidi
NF000049,reference,Chagulak,Chagulak
NF000050,reference,Chagulak,Chagulak
NF000051,reference,Chagulak,Chagulak
NF000052,reference,Chagulak,Chagulak
NF000053,reference,Chagulak,Chagulak
NF000054,reference,Chagulak,Chagulak
NF000055,reference,Chagulak,Chagulak
NF000056,reference,Chagulak,Chagulak
NF000057,reference,Chagulak,Chagulak
