locus,Chag_Ho,Chag_Hs,Chag_Fis,Prib_Ho,Prib_Hs,Prib_Fis,Semi_Ho,Semi_Hs,Semi_Fis,StMa_Ho,StMa_Hs,StMa_Fis
scaffold10064_72410_72710_1,0.3333,0.281,-0.1864,0.2367,0.2286,-0.0354,0.2756,0.2719,-0.0137,0.3276,0.3412,0.0399
scaffold1073_6683_6983_1,0.1667,0.1567,-0.0633,0.3669,0.3624,-0.0123,0.2598,0.2871,0.0948,0.3103,0.3512,0.1163
scaffold11643_6155_6455_1,0.3889,0.4702,0.173,0.3846,0.3874,0.0071,0.4331,0.4132,-0.0482,0.2759,0.3023,0.0875
scaffold11659_1129_1429_1,0.4722,0.4976,0.051,0.4438,0.434,-0.0226,0.4213,0.4655,0.0951,0.4138,0.4446,0.0694
scaffold11671_31645_31945_1,0.2778,0.2861,0.0291,0.3964,0.4251,0.0674,0.2717,0.2632,-0.0323,0.5172,0.4552,-0.1362
scaffold12151_88327_88627_1,0.0556,0.0548,-0.0145,0.355,0.3561,0.003,0.2008,0.2118,0.0518,0.1897,0.2275,0.1662
scaffold12549_7519_7819_1,0.3056,0.3,-0.0185,0.1775,0.1719,-0.0326,0.315,0.3011,-0.046,0.1724,0.2181,0.2094
scaffold12572_95987_96287_1,0.5556,0.5464,-0.0167,0.4226,0.4433,0.0467,0.4291,0.4306,0.0034,0.3621,0.4286,0.1553
scaffold12669_859_1159_1,0.2222,0.2464,0.0982,0.2485,0.2292,-0.0841,0.3492,0.3573,0.0226,0.2586,0.2792,0.0737
scaffold12702_30730_31030_1,0.5278,0.4524,-0.1667,0.426,0.4023,-0.0589,0.2953,0.2847,-0.0373,0.3621,0.3642,0.0058
scaffold12724_15413_15713_1,0.3333,0.3226,-0.0332,0.4024,0.3928,-0.0244,0.5433,0.4851,-0.12,0.569,0.5172,-0.1
scaffold12724_22667_22967_1,0.3056,0.3048,-0.0026,0.3491,0.3468,-0.0067,0.4409,0.3945,-0.1178,0.5172,0.4717,-0.0965
scaffold12724_4243_4543_1,0.3611,0.3667,0.0152,0.4167,0.4038,-0.0318,0.5139,0.477,-0.0775,0.5357,0.4903,-0.0927
scaffold12850_47111_47411_1,0.25,0.3357,0.2553,0.3491,0.3656,0.045,0.2756,0.2766,0.0035,0.4828,0.444,-0.0872
scaffold12907_16926_17226_1,0.4444,0.4302,-0.0332,0.3669,0.3561,-0.0304,0.3937,0.3854,-0.0216,0.5,0.4498,-0.1116
scaffold12968_40534_40834_1,0.3889,0.4071,0.0448,0.4142,0.3918,-0.0571,0.3661,0.4249,0.1384,0.4483,0.5026,0.108
scaffold13158_16102_16402_1,0.3333,0.3508,0.0498,0.4201,0.3775,-0.113,0.4055,0.3835,-0.0575,0.3793,0.3306,-0.1473
scaffold13635_62902_63202_1,0.4444,0.377,-0.1789,0.142,0.1623,0.125,0.3465,0.3488,0.0067,0.2759,0.2396,-0.1515
scaffold13913_12506_12806_1,0.5278,0.65,0.188,0.5148,0.5909,0.1287,0.5748,0.6576,0.1259,0.5893,0.6539,0.0988
scaffold14098_7391_7691_1,0.3889,0.594,0.3454,0.3787,0.6483,0.4159,0.2795,0.5727,0.5119,0.3103,0.6065,0.4883
scaffold14169_98394_98694_1,0.1944,0.3683,0.472,0.2367,0.2482,0.0465,0.3465,0.353,0.0186,0.3793,0.3373,-0.1247
scaffold14302_10932_11232_1,0.3056,0.3048,-0.0026,0.3491,0.3396,-0.0279,0.3031,0.3118,0.0278,0.3103,0.3699,0.1611
scaffold14413_3901_4201_1,0.1111,0.1079,-0.0294,0.3136,0.3127,-0.0029,0.2283,0.2302,0.008,0.3621,0.3043,-0.1899
scaffold14415_41268_41568_1,0.2,0.6387,0.6868,0.3665,0.6169,0.406,0.4188,0.64,0.3456,0.4182,0.5512,0.2413
scaffold14476_28059_28359_1,0.3056,0.3667,0.1667,0.3195,0.29,-0.102,0.3268,0.3317,0.015,0.3276,0.3548,0.0767
scaffold14624_104543_104843_1,0,0,NaN,0,0,NaN,0,0,NaN,0,0,NaN
scaffold1506_64767_65067_1,0.25,0.2667,0.0625,0.3018,0.3286,0.0817,0.3794,0.3623,-0.0472,0.3621,0.4106,0.1182
scaffold15072_25695_25995_1,0.2222,0.2429,0.085,0.4083,0.4053,-0.0073,0.2953,0.3096,0.0463,0.4138,0.3866,-0.0704
scaffold15458_19677_19977_1,0.3889,0.3802,-0.023,0.3077,0.2889,-0.0651,0.3976,0.3737,-0.064,0.5172,0.498,-0.0386
scaffold15799_15980_16280_1,0.5556,0.4325,-0.2844,0.3669,0.3509,-0.0455,0.4213,0.4261,0.0113,0.3448,0.4035,0.1454
scaffold15856_64760_65060_1,0.5,0.45,-0.1111,0.3136,0.3605,0.13,0.3031,0.3226,0.0602,0.3621,0.3603,-0.005
scaffold16535_98016_98316_1,0.2222,0.2825,0.2135,0.4048,0.379,-0.0681,0.3043,0.3105,0.0199,0.2414,0.2399,-0.0063
scaffold16631_31251_31551_1,0.7222,0.6282,-0.1497,0.6805,0.6049,-0.125,0.5748,0.604,0.0483,0.6897,0.6515,-0.0585
scaffold16928_88219_88519_1,0,0,NaN,0,0,NaN,0,0,NaN,0,0,NaN
scaffold17092_25910_26210_1,0.4167,0.427,0.0242,0.432,0.4472,0.034,0.5118,0.4774,-0.0721,0.4138,0.4478,0.076
scaffold18623_5641_5941_1,0.5556,0.4933,-0.1263,0.4024,0.4359,0.077,0.3661,0.384,0.0465,0.3793,0.3913,0.0305
scaffold1915_31691_31991_1,0.4722,0.3643,-0.2963,0.4497,0.3972,-0.1321,0.3651,0.3912,0.0668,0.2931,0.379,0.2267
scaffold19203_31036_31336_1,0.5278,0.4968,-0.0623,0.4201,0.4526,0.0717,0.4055,0.4955,0.1816,0.3966,0.3533,-0.1224
scaffold19438_69367_69667_1,0.5278,0.4587,-0.1505,0.4201,0.3946,-0.0647,0.2992,0.2928,-0.0219,0.3448,0.4082,0.1552
scaffold1960_103029_103329_1,0.1111,0.2016,0.4488,0.3077,0.3364,0.0852,0.2874,0.2764,-0.04,0.3966,0.3442,-0.152
scaffold19776_1877_2177_1,0.5556,0.5714,0.0278,0.645,0.6604,0.0234,0.6142,0.6321,0.0283,0.6724,0.6766,0.0063
scaffold20701_3279_3579_1,0.3333,0.3401,0.0198,0.4583,0.4437,-0.0329,0.4055,0.4099,0.0106,0.5,0.4788,-0.0442
