SAMPLE_ID,NMFS_DNA_ID,collection,PofZ,z_score
16-0237,NF000612,Pribilof,0.9854425368987186,1.2495546154030488
16-0238,NF000613,StMatthew,0.9864135442677747,0.350019406713466
16-0241,NF000616,StMatthew,0.9866516704714925,0.43493458424065445
16-0242,NF000617,Semidi,0.9981192518250652,1.53211468731109
16-0243,NF000618,Chagulak,0.9999775695160947,-1.321390132686259
16-0244,NF000619,Pribilof,0.9976446406299851,2.079471563125311
16-0245,NF000620,Semidi,0.9511764521548574,1.533391967588746
16-0247,NF000622,Semidi,0.9865675562102192,2.4843467640587793
16-0249,NF000624,Chagulak,0.9985064517678244,-0.6362092802503198
16-0250,NF000625,Chagulak,0.9998268220604534,0.32038502799825436
16-0251,NF000626,Chagulak,0.9999471761488916,0.23176168446352713
16-0252,NF000627,Semidi,0.9997622255378934,0.634327538466743
16-0257,NF000632,StMatthew,0.9896012624318957,1.300167094692589
16-0258,NF000633,Chagulak,0.9998144040664393,-1.258376594311787
16-0260,NF000635,StMatthew,0.9989303102708664,0.7910131380939851
16-0262,NF000637,Semidi,0.9947557165465817,0.20758494823688295
16-0263,NF000638,StMatthew,0.9991494944017232,0.660783085940529
16-0265,NF000640,Semidi,0.9966987366484551,0.43535122696766393
16-0270,NF000644,Pribilof,0.9862733729135073,1.8374392381250222
16-0271,NF000645,Chagulak,0.9804298261711251,0.0064535213221992484
16-0272,NF000646,Semidi,0.9943446707231265,1.4193823849788938
16-0273,NF000647,Chagulak,0.9987549122682493,1.7790347876032533
16-0274,NF000648,Chagulak,0.9989776637278063,0.7888098737677657
16-0275,NF000649,StMatthew,0.9894988656366812,1.739636340977293
16-0277,NF000651,StMatthew,0.9996177431447952,0.051659025059690784
16-0278,NF000652,Semidi,0.9999875582920841,-0.3719434349892768
16-0279,NF000653,Pribilof,0.9963206696322466,-0.42924761435712283
16-0418,NF000657,StMatthew,0.9987179885154255,0.4729281231112361
16-0419,NF000658,StMatthew,0.9999728922274704,0.5752398734729721
16-0420,NF000659,Chagulak,0.9998030806485412,-0.8842805592090116
16-0421,NF000660,Semidi,0.9998967483892407,0.8957927125597177
16-0423,NF000662,StMatthew,0.9953598713381091,-0.44674121931125443
16-0424,NF000663,Semidi,0.9990739029941907,-0.03491766793706966
16-0425,NF000664,Pribilof,0.9998673983520271,0.03603666959592544
16-0427,NF000666,Pribilof,0.9997297251887313,1.0065724949619343
16-0428,NF000667,Pribilof,0.9984780299294188,1.4402517990513894
16-0429,NF000668,Semidi,0.9997383200848302,1.2886682624180712
17-0191,NF000669,Chagulak,0.9999095817567961,-0.45453544861716566
17-0192,NF000670,Pribilof,0.9969971552869873,0.4918185554616823
17-0193,NF000671,Pribilof,0.9964668670446277,0.9018462640176999
17-0195,NF000673,Pribilof,0.9888946325202242,0.8668043303171284
17-0197,NF000675,StMatthew,0.9963571183860903,0.5347318620012702
17-0198,NF000676,StMatthew,0.999664840244969,-0.16475128029022282
17-0199,NF000677,StMatthew,0.9999973959668663,1.1060861325042497
17-0200,NF000678,Semidi,0.9587722363797803,0.6129355372646855
17-0204,NF000681,Semidi,0.9907475912471704,0.31493707884544087
17-0206,NF000683,Semidi,0.9995851790145526,0.6705724577600628
17-0210,NF000686,Pribilof,0.9999734107948466,-0.03919022894598944
17-0212,NF000688,Semidi,0.9948958666785553,0.9621536073898584
17-0214,NF000690,Semidi,0.9977517758363917,-0.2913648433315709
17-0215,NF000691,Chagulak,0.993654866922744,-0.6549780032607422
17-0216,NF000692,Semidi,0.9999656503083031,-0.03760418193169951
17-0218,NF000694,Semidi,0.9889384131557425,0.04699954213879836
17-0240,NF000697,Semidi,0.9992708313334129,-0.572477765570351
17-0242,NF000699,StMatthew,0.9999975188286336,-1.9415876818884683
17-0243,NF000700,StMatthew,0.9989150765417697,1.7180501980935365
17-0244,NF000701,StMatthew,0.9840773523140823,-0.2848923272493239
17-0245,NF000702,StMatthew,0.9972056120761582,1.152531014921733
17-0247,NF000704,StMatthew,0.9845699944957218,0.5552806452304391
17-0248,NF000705,Semidi,0.9996190536983276,-0.02837477396722898
17-0249,NF000706,Pribilof,0.9998915082646808,1.287102515514168
17-0250,NF000707,Pribilof,0.9997957987991352,0.2425895432948494
17-0251,NF000708,StMatthew,0.9986281350618671,-0.5758809764563347
17-0254,NF000711,Pribilof,0.9987495229073292,0.43385831686726795
17-0257,NF000714,Chagulak,0.9864277679535665,-1.9819883158337104
17-0259,NF000716,Semidi,0.9995021679488273,1.0094815561068589
17-0260,NF000717,Semidi,0.9927028506859011,2.098997181077409
17-0262,NF000719,Semidi,0.9980230504412166,0.383726201235555
17-0266,NF000723,StMatthew,0.9981201905680688,0.9388017554532941
17-0267,NF000724,Semidi,0.9925558794723145,-0.5119228409563662
17-0268,NF000725,Pribilof,0.9951878443345009,0.3583846611159784
17-0276,NF000730,StMatthew,0.9697888535920944,1.215676905440328
17-0315,NF000734,Pribilof,0.9967969747242714,0.47039438811199946
17-0316,NF000735,Pribilof,0.999567251537744,1.1213707208090309
17-0317,NF000736,StMatthew,0.9785141553849329,-0.3803104533204927
17-0342,NF000737,StMatthew,0.9996699054665397,0.6561896712789613
17-0343,NF000738,Pribilof,0.999406994891707,0.9407697501954152
17-0344,NF000739,StMatthew,0.9997300663423782,-0.4172119873161387
17-0345,NF000740,StMatthew,0.9995348942654463,-1.2869233526921702
17-0347,NF000742,StMatthew,0.9969387790005095,0.7665393509987403
17-0351,NF000743,Pribilof,0.9996019342035866,-0.17216795912391497
17-0353,NF000745,Pribilof,0.9999130546735165,0.9469123673123033
17-0355,NF000746,StMatthew,0.9974345015027393,-0.4068317217407034
17-0356,NF000747,StMatthew,0.9989414072587295,-0.7122018960436821
17-0357,NF000748,Pribilof,0.9999434022284958,0.5396845092378995
17-0359,NF000750,Semidi,0.999942969962346,0.8651842591923488
17-0361,NF000752,Semidi,0.9886486329487683,1.3091029687000528
17-0362,NF000753,Semidi,0.9979639309625321,0.809477790942731
17-0364,NF000754,Chagulak,0.9998954436026077,-0.12172432540389072
17-0365,NF000755,StMatthew,0.9961865963842806,0.798948638454775
17-0366,NF000756,Semidi,0.9998745435906167,0.1314426650639439
17-0368,NF000758,Semidi,0.9981051730522912,0.39267119744704954
17-0370,NF000760,StMatthew,0.9926858660218352,-0.23819802195466663
17-0371,NF000761,StMatthew,0.9900125853681646,0.9830516443193045
17-0372,NF000762,Chagulak,0.999781157014957,-0.020297111818009497
17-0375,NF000765,Semidi,0.9909212719561544,-0.35567369739296945
17-0376,NF000766,Chagulak,0.9994451812131618,0.20883302880094165
