NMFS_DNA_ID,group
NF000049,Chagulak
NF000050,Chagulak
NF000051,Chagulak
NF000052,Chagulak
NF000053,Chagulak
NF000054,Chagulak
NF000055,Chagulak
NF000056,Chagulak
NF000057,Chagulak
NF000058,Chagulak
NF000059,Chagulak
NF000060,Chagulak
NF000061,Chagulak
NF000062,Chagulak
NF000063,Chagulak
NF000064,Chagulak
NF000065,Chagulak
NF000066,Chagulak
NF000067,Chagulak
NF000068,Chagulak
NF000069,Chagulak
NF000070,Chagulak
NF000071,Chagulak
NF000072,Chagulak
NF000073,Chagulak
NF000074,Chagulak
NF000075,Chagulak
NF000076,Chagulak
NF000077,Chagulak
NF000078,Chagulak
NF000079,Chagulak
NF000080,Chagulak
NF000081,Chagulak
NF000082,Chagulak
NF000083,Chagulak
NF000084,Chagulak
NF000085,Chagulak
NF000086,Chagulak
NF000362,Chagulak
NF000363,Chagulak
NF000364,Chagulak
NF000365,Chagulak
NF000366,Chagulak
NF000367,Chagulak
NF000368,Chagulak
NF000369,Chagulak
NF000370,Chagulak
NF000371,Chagulak
NF000372,Chagulak
NF000373,Chagulak
NF000374,Chagulak
NF000375,Chagulak
NF000376,Chagulak
NF000377,Chagulak
NF000378,Chagulak
NF000379,Chagulak
NF000380,Chagulak
NF000381,Chagulak
NF000382,Chagulak
NF000383,Chagulak
NF000384,Chagulak
NF000385,Chagulak
NF000386,Chagulak
NF000387,Chagulak
NF000388,Chagulak
NF000389,Chagulak
NF000390,Chagulak
NF000391,Chagulak
NF000087,Pribilof
NF000088,Pribilof
NF000089,Pribilof
NF000090,Pribilof
NF000091,Pribilof
NF000092,Pribilof
NF000093,Pribilof
NF000094,Pribilof
NF000095,Pribilof
NF000096,Pribilof
NF000097,Pribilof
NF000098,Pribilof
NF000099,Pribilof
NF000100,Pribilof
NF000101,Pribilof
NF000102,Pribilof
NF000103,Pribilof
NF000104,Pribilof
NF000105,Pribilof
NF000106,Pribilof
NF000107,Pribilof
NF000108,Pribilof
NF000109,Pribilof
NF000110,Pribilof
NF000111,Pribilof
NF000112,Pribilof
NF000113,Pribilof
NF000114,Pribilof
NF000115,Pribilof
NF000116,Pribilof
NF000117,Pribilof
NF000118,Pribilof
NF000119,Pribilof
NF000120,Pribilof
NF000121,Pribilof
NF000122,Pribilof
NF000123,Pribilof
NF000124,Pribilof
NF000125,Pribilof
NF000126,Pribilof
NF000127,Pribilof
NF000128,Pribilof
NF000129,Pribilof
NF000130,Pribilof
NF000131,Pribilof
NF000132,Pribilof
NF000133,Pribilof
NF000134,Pribilof
NF000135,Pribilof
NF000136,Pribilof
NF000137,Pribilof
NF000138,Pribilof
NF000139,Pribilof
NF000140,Pribilof
NF000141,Pribilof
NF000142,Pribilof
NF000143,Pribilof
NF000144,Pribilof
NF000475,Pribilof
NF000476,Pribilof
NF000477,Pribilof
NF000478,Pribilof
NF000479,Pribilof
NF000480,Pribilof
NF000481,Pribilof
NF000482,Pribilof
NF000483,Pribilof
NF000484,Pribilof
NF000485,Pribilof
NF000486,Pribilof
NF000487,Pribilof
NF000488,Pribilof
NF000489,Pribilof
NF000490,Pribilof
NF000491,Pribilof
NF000492,Pribilof
NF000493,Pribilof
NF000494,Pribilof
NF000495,Pribilof
NF000496,Pribilof
NF000497,Pribilof
NF000498,Pribilof
NF000499,Pribilof
NF000500,Pribilof
NF000501,Pribilof
NF000502,Pribilof
NF000503,Pribilof
NF000504,Pribilof
NF000505,Pribilof
NF000506,Pribilof
NF000507,Pribilof
NF000508,Pribilof
NF000509,Pribilof
NF000510,Pribilof
NF000511,Pribilof
NF000512,Pribilof
NF000513,Pribilof
NF000514,Pribilof
NF000515,Pribilof
NF000516,Pribilof
NF000517,Pribilof
NF000518,Pribilof
NF000519,Pribilof
NF000520,Pribilof
NF000521,Pribilof
NF000522,Pribilof
NF000523,Pribilof
NF000524,Pribilof
NF000525,Pribilof
NF000526,Pribilof
NF000527,Pribilof
NF000528,Pribilof
NF000529,Pribilof
NF000530,Pribilof
NF000531,Pribilof
NF000532,Pribilof
NF000533,Pribilof
NF000534,Pribilof
NF000535,Pribilof
NF000536,Pribilof
NF000537,Pribilof
NF000538,Pribilof
NF000539,Pribilof
NF000540,Pribilof
NF000541,Pribilof
NF000542,Pribilof
NF000543,Pribilof
NF000544,Pribilof
NF000545,Pribilof
NF000546,Pribilof
NF000547,Pribilof
NF000548,Pribilof
NF000549,Pribilof
NF000550,Pribilof
NF000551,Pribilof
NF000552,Pribilof
NF000553,Pribilof
NF000554,Pribilof
NF000555,Pribilof
NF000556,Pribilof
NF000557,Pribilof
NF000558,Pribilof
NF000559,Pribilof
NF000560,Pribilof
NF000561,Pribilof
NF000562,Pribilof
NF000563,Pribilof
NF000564,Pribilof
NF000565,Pribilof
NF000566,Pribilof
NF000567,Pribilof
NF000568,Pribilof
NF000569,Pribilof
NF000570,Pribilof
NF000571,Pribilof
NF000572,Pribilof
NF000573,Pribilof
NF000574,Pribilof
NF000575,Pribilof
NF000576,Pribilof
NF000577,Pribilof
NF000578,Pribilof
NF000579,Pribilof
NF000580,Pribilof
NF000581,Pribilof
NF000582,Pribilof
NF000583,Pribilof
NF000584,Pribilof
NF000585,Pribilof
NF000586,Pribilof
NF000587,Pribilof
NF000588,Pribilof
NF000589,Pribilof
NF000590,Pribilof
NF000591,Pribilof
NF000592,Pribilof
NF000593,Pribilof
NF000594,Pribilof
NF000595,Pribilof
NF000596,Pribilof
NF000597,Pribilof
NF000598,Pribilof
NF000599,Pribilof
NF000001,Semidi
NF000002,Semidi
NF000003,Semidi
NF000004,Semidi
NF000005,Semidi
NF000006,Semidi
NF000007,Semidi
NF000008,Semidi
NF000009,Semidi
NF000010,Semidi
NF000011,Semidi
NF000012,Semidi
NF000013,Semidi
NF000014,Semidi
NF000015,Semidi
NF000016,Semidi
NF000017,Semidi
NF000018,Semidi
NF000019,Semidi
NF000020,Semidi
NF000021,Semidi
NF000022,Semidi
NF000023,Semidi
NF000024,Semidi
NF000025,Semidi
NF000026,Semidi
NF000027,Semidi
NF000028,Semidi
NF000029,Semidi
NF000030,Semidi
NF000031,Semidi
NF000032,Semidi
NF000033,Semidi
NF000034,Semidi
NF000035,Semidi
NF000036,Semidi
NF000037,Semidi
NF000038,Semidi
NF000039,Semidi
NF000040,Semidi
NF000041,Semidi
NF000042,Semidi
NF000043,Semidi
NF000044,Semidi
NF000045,Semidi
NF000046,Semidi
NF000047,Semidi
NF000048,Semidi
NF000193,Semidi
NF000194,Semidi
NF000195,Semidi
NF000196,Semidi
NF000197,Semidi
NF000198,Semidi
NF000199,Semidi
NF000200,Semidi
NF000201,Semidi
NF000202,Semidi
NF000203,Semidi
NF000204,Semidi
NF000205,Semidi
NF000206,Semidi
NF000207,Semidi
NF000208,Semidi
NF000209,Semidi
NF000210,Semidi
NF000211,Semidi
NF000212,Semidi
NF000213,Semidi
NF000214,Semidi
NF000215,Semidi
NF000216,Semidi
NF000217,Semidi
NF000218,Semidi
NF000219,Semidi
NF000220,Semidi
NF000221,Semidi
NF000222,Semidi
NF000223,Semidi
NF000224,Semidi
NF000225,Semidi
NF000226,Semidi
NF000227,Semidi
NF000228,Semidi
NF000229,Semidi
NF000230,Semidi
NF000231,Semidi
NF000232,Semidi
NF000233,Semidi
NF000234,Semidi
NF000235,Semidi
NF000236,Semidi
NF000237,Semidi
NF000238,Semidi
NF000239,Semidi
NF000240,Semidi
NF000241,Semidi
NF000242,Semidi
NF000243,Semidi
NF000244,Semidi
NF000245,Semidi
NF000246,Semidi
NF000247,Semidi
NF000248,Semidi
NF000249,Semidi
NF000250,Semidi
NF000251,Semidi
NF000252,Semidi
NF000253,Semidi
NF000254,Semidi
NF000255,Semidi
NF000256,Semidi
NF000257,Semidi
NF000258,Semidi
NF000259,Semidi
NF000260,Semidi
NF000261,Semidi
NF000262,Semidi
NF000263,Semidi
NF000264,Semidi
NF000265,Semidi
NF000266,Semidi
NF000267,Semidi
NF000268,Semidi
NF000269,Semidi
NF000270,Semidi
NF000271,Semidi
NF000272,Semidi
NF000273,Semidi
NF000274,Semidi
NF000275,Semidi
NF000276,Semidi
NF000277,Semidi
NF000278,Semidi
NF000279,Semidi
NF000280,Semidi
NF000281,Semidi
NF000282,Semidi
NF000283,Semidi
NF000284,Semidi
NF000285,Semidi
NF000286,Semidi
NF000287,Semidi
NF000288,Semidi
NF000289,Semidi
NF000290,Semidi
NF000291,Semidi
NF000292,Semidi
NF000293,Semidi
NF000294,Semidi
NF000295,Semidi
NF000296,Semidi
NF000297,Semidi
NF000298,Semidi
NF000299,Semidi
NF000300,Semidi
NF000301,Semidi
NF000302,Semidi
NF000303,Semidi
NF000304,Semidi
NF000305,Semidi
NF000306,Semidi
NF000307,Semidi
NF000308,Semidi
NF000309,Semidi
NF000310,Semidi
NF000311,Semidi
NF000312,Semidi
NF000313,Semidi
NF000314,Semidi
NF000315,Semidi
NF000316,Semidi
NF000317,Semidi
NF000318,Semidi
NF000319,Semidi
NF000320,Semidi
NF000321,Semidi
NF000322,Semidi
NF000323,Semidi
NF000324,Semidi
NF000325,Semidi
NF000326,Semidi
NF000327,Semidi
NF000328,Semidi
NF000329,Semidi
NF000330,Semidi
NF000331,Semidi
NF000332,Semidi
